repo_owner,repo_name,pr_number,pr_url,pr_status,analysis_time_hours,size_files_changed,size_lines_added,size_lines_removed,description_chars,interaction_participants,interaction_comments,num_reviews
freeCodeCamp,freeCodeCamp,62161,https://github.com/freeCodeCamp/freeCodeCamp/pull/62161,MERGED,608.58,18,1278,0,806,4,0,6
freeCodeCamp,freeCodeCamp,62550,https://github.com/freeCodeCamp/freeCodeCamp/pull/62550,MERGED,20.83,1,9,49,936,3,0,2
freeCodeCamp,freeCodeCamp,54417,https://github.com/freeCodeCamp/freeCodeCamp/pull/54417,MERGED,362.28,33,414,123,751,6,2,10
freeCodeCamp,freeCodeCamp,54369,https://github.com/freeCodeCamp/freeCodeCamp/pull/54369,MERGED,9.79,1,13,4,751,4,2,2
freeCodeCamp,freeCodeCamp,62525,https://github.com/freeCodeCamp/freeCodeCamp/pull/62525,MERGED,42.28,11,43,107,207,1,0,1
freeCodeCamp,freeCodeCamp,61937,https://github.com/freeCodeCamp/freeCodeCamp/pull/61937,MERGED,59.52,1,1,1,750,5,1,2
freeCodeCamp,freeCodeCamp,62537,https://github.com/freeCodeCamp/freeCodeCamp/pull/62537,MERGED,20.65,20,23,27,1062,3,0,3
freeCodeCamp,freeCodeCamp,62549,https://github.com/freeCodeCamp/freeCodeCamp/pull/62549,MERGED,9.21,4,4,4,761,4,1,3
freeCodeCamp,freeCodeCamp,62078,https://github.com/freeCodeCamp/freeCodeCamp/pull/62078,MERGED,688.54,1,18,0,1970,4,3,5
freeCodeCamp,freeCodeCamp,62289,https://github.com/freeCodeCamp/freeCodeCamp/pull/62289,MERGED,288.3,5,373,0,1059,3,0,14
freeCodeCamp,freeCodeCamp,62551,https://github.com/freeCodeCamp/freeCodeCamp/pull/62551,MERGED,1.25,20,13587,1919,45,3,0,2
freeCodeCamp,freeCodeCamp,62495,https://github.com/freeCodeCamp/freeCodeCamp/pull/62495,MERGED,61.38,1,4,3,761,4,0,6
freeCodeCamp,freeCodeCamp,62534,https://github.com/freeCodeCamp/freeCodeCamp/pull/62534,MERGED,17.12,14,15,15,761,4,0,3
freeCodeCamp,freeCodeCamp,62533,https://github.com/freeCodeCamp/freeCodeCamp/pull/62533,MERGED,15.97,25,29,29,761,4,0,3
freeCodeCamp,freeCodeCamp,62181,https://github.com/freeCodeCamp/freeCodeCamp/pull/62181,MERGED,575.51,102,649,546,390,3,1,3
freeCodeCamp,freeCodeCamp,62469,https://github.com/freeCodeCamp/freeCodeCamp/pull/62469,CLOSED,76.32,10,460,0,663,2,2,2
freeCodeCamp,freeCodeCamp,62542,https://github.com/freeCodeCamp/freeCodeCamp/pull/62542,MERGED,3.46,1,1,1,762,4,2,2
freeCodeCamp,freeCodeCamp,62459,https://github.com/freeCodeCamp/freeCodeCamp/pull/62459,MERGED,96.5,2,99,34,663,4,0,2
freeCodeCamp,freeCodeCamp,62536,https://github.com/freeCodeCamp/freeCodeCamp/pull/62536,MERGED,13.32,1,4,4,958,3,0,2
freeCodeCamp,freeCodeCamp,62364,https://github.com/freeCodeCamp/freeCodeCamp/pull/62364,MERGED,257.09,113,788,560,390,3,0,7
freeCodeCamp,freeCodeCamp,62440,https://github.com/freeCodeCamp/freeCodeCamp/pull/62440,MERGED,116.32,4,2919,10,817,3,0,3
freeCodeCamp,freeCodeCamp,62516,https://github.com/freeCodeCamp/freeCodeCamp/pull/62516,MERGED,15.77,1,1,1,717,3,3,2
freeCodeCamp,freeCodeCamp,62499,https://github.com/freeCodeCamp/freeCodeCamp/pull/62499,MERGED,31.46,2,2,2,761,3,1,2
freeCodeCamp,freeCodeCamp,62493,https://github.com/freeCodeCamp/freeCodeCamp/pull/62493,MERGED,21.58,1,1,1,820,3,0,2
freeCodeCamp,freeCodeCamp,62510,https://github.com/freeCodeCamp/freeCodeCamp/pull/62510,MERGED,2.62,2,0,30,761,3,0,2
freeCodeCamp,freeCodeCamp,62500,https://github.com/freeCodeCamp/freeCodeCamp/pull/62500,MERGED,14.4,1,1,1,892,3,1,2
freeCodeCamp,freeCodeCamp,62102,https://github.com/freeCodeCamp/freeCodeCamp/pull/62102,MERGED,403.14,69,492,478,393,4,0,2
freeCodeCamp,freeCodeCamp,62026,https://github.com/freeCodeCamp/freeCodeCamp/pull/62026,MERGED,626.89,105,1079,704,393,3,0,3
freeCodeCamp,freeCodeCamp,61903,https://github.com/freeCodeCamp/freeCodeCamp/pull/61903,MERGED,857.61,133,1800,622,391,5,0,3
freeCodeCamp,freeCodeCamp,61788,https://github.com/freeCodeCamp/freeCodeCamp/pull/61788,MERGED,1008.66,136,1060,647,393,5,1,3
freeCodeCamp,freeCodeCamp,61667,https://github.com/freeCodeCamp/freeCodeCamp/pull/61667,MERGED,1331.12,113,523,469,393,5,1,4
freeCodeCamp,freeCodeCamp,61569,https://github.com/freeCodeCamp/freeCodeCamp/pull/61569,MERGED,744.58,165,736,628,460,5,1,6
freeCodeCamp,freeCodeCamp,61464,https://github.com/freeCodeCamp/freeCodeCamp/pull/61464,MERGED,8.44,11,20,20,496,3,0,2
freeCodeCamp,freeCodeCamp,61366,https://github.com/freeCodeCamp/freeCodeCamp/pull/61366,MERGED,31.35,129,129,129,485,4,1,3
freeCodeCamp,freeCodeCamp,62481,https://github.com/freeCodeCamp/freeCodeCamp/pull/62481,MERGED,7.31,10,29,26,155,3,1,5
freeCodeCamp,freeCodeCamp,62188,https://github.com/freeCodeCamp/freeCodeCamp/pull/62188,MERGED,502.51,15,1496,19,1889,6,12,14
freeCodeCamp,freeCodeCamp,62474,https://github.com/freeCodeCamp/freeCodeCamp/pull/62474,MERGED,6.42,6,13,11,272,4,3,2
freeCodeCamp,freeCodeCamp,62460,https://github.com/freeCodeCamp/freeCodeCamp/pull/62460,MERGED,30.19,5,245,0,972,3,0,5
freeCodeCamp,freeCodeCamp,62483,https://github.com/freeCodeCamp/freeCodeCamp/pull/62483,MERGED,1.93,1,4,4,400,5,7,3
freeCodeCamp,freeCodeCamp,62478,https://github.com/freeCodeCamp/freeCodeCamp/pull/62478,MERGED,3.93,1,2,1,753,3,0,2
freeCodeCamp,freeCodeCamp,62462,https://github.com/freeCodeCamp/freeCodeCamp/pull/62462,MERGED,23.46,5,206,17,817,4,1,5
freeCodeCamp,freeCodeCamp,62476,https://github.com/freeCodeCamp/freeCodeCamp/pull/62476,CLOSED,2.71,1,1,1,765,2,5,1
freeCodeCamp,freeCodeCamp,62473,https://github.com/freeCodeCamp/freeCodeCamp/pull/62473,MERGED,1.78,1,4,4,792,3,5,2
freeCodeCamp,freeCodeCamp,62413,https://github.com/freeCodeCamp/freeCodeCamp/pull/62413,MERGED,89.75,1,3,0,919,4,1,4
freeCodeCamp,freeCodeCamp,62466,https://github.com/freeCodeCamp/freeCodeCamp/pull/62466,MERGED,8.17,12,48,46,1690,3,0,4
